1589|8705683.76
890|8113468.32
1452|7979226.16
509|7917730.69
1969|7759342.08
1489|7743773.73
869|7509094.47
1278|7395516.81
289|7203972.72
469|7179048.44
955|7032415.5
1569|6788862.41
969|6719415.75
589|6455816.08
1803|6375540.6
1313|6214165.88
341|6200963.1
823|6194150.56
1860|5881246.7
1369|5836415.55
19|5593808.0
1727|5499526.08
676|5369084.0
1295|5256076.65
935|5003940.96
1411|4974704.54
1331|4889020.4
402|4884885.94
579|4792821.25
1153|4763435.85
658|4738945.2
789|4659194.2
1491|4626377.0
1646|4596928.0
1669|4562860.35
1901|4528592.55
460|4466739.06
725|4403786.22
333|4338450.54
69|4302205.28
169|4283430.42
1430|4220356.48
901|4172922.24
