ALGERIA|1998|242404.5113
ALGERIA|1997|465111.035
ALGERIA|1996|221722.2715
ALGERIA|1995|210733.3992
ALGERIA|1994|335446.6649
ALGERIA|1993|287517.9144
ALGERIA|1992|275780.2487
ARGENTINA|1998|305985.9063
ARGENTINA|1997|707223.6334
ARGENTINA|1996|311551.0166
ARGENTINA|1995|430319.3009
ARGENTINA|1994|454798.5525
ARGENTINA|1993|319634.3317
ARGENTINA|1992|383600.0883
BRAZIL|1998|102313.4396
BRAZIL|1997|275917.3028
BRAZIL|1996|188814.9511
BRAZIL|1995|312890.1705
BRAZIL|1994|307828.4179
BRAZIL|1993|203233.0206
BRAZIL|1992|126490.5044
CANADA|1998|215093.5951
CANADA|1997|306936.0385
CANADA|1996|256305.7003
CANADA|1995|289476.6171
CANADA|1994|99396.7215
CANADA|1993|318009.2262
CANADA|1992|197820.4514
CHINA|1998|693713.0351
CHINA|1997|876741.5974
CHINA|1996|1173605.4269
CHINA|1995|1077037.814
CHINA|1994|1069009.1934
CHINA|1993|892490.2729
CHINA|1992|761476.6914
EGYPT|1998|356451.3327
EGYPT|1997|672905.8823
EGYPT|1996|518888.7039
EGYPT|1995|749532.431
EGYPT|1994|728691.0057
EGYPT|1993|653914.944
EGYPT|1992|680074.4719
ETHIOPIA|1998|123339.4647
ETHIOPIA|1997|147968.5827
ETHIOPIA|1996|156818.2882
ETHIOPIA|1995|185975.9504
ETHIOPIA|1994|200463.9651
ETHIOPIA|1993|384708.2046
ETHIOPIA|1992|303522.5153
FRANCE|1998|132240.9375
FRANCE|1997|102745.6604
FRANCE|1996|441961.4672
FRANCE|1995|185594.3063
FRANCE|1994|111897.0246
FRANCE|1993|139985.1037
FRANCE|1992|330690.0953
GERMANY|1998|282056.2983
GERMANY|1997|406299.7761
GERMANY|1996|273700.4397
GERMANY|1995|510468.1263
GERMANY|1994|574438.0274
GERMANY|1993|797663.5861
GERMANY|1992|548634.1719
INDIA|1998|336042.3184
INDIA|1997|351004.9502
INDIA|1996|527019.0928
INDIA|1995|425440.2713
INDIA|1994|277239.3849
INDIA|1993|205172.3623
INDIA|1992|550208.975
INDONESIA|1998|293908.537
INDONESIA|1997|420545.4242
INDONESIA|1996|404552.8987
INDONESIA|1995|522605.0832
INDONESIA|1994|613851.492
INDONESIA|1993|432099.0228
INDONESIA|1992|445052.7271
IRAN|1998|147306.9259
IRAN|1997|351947.858
IRAN|1996|461000.1955
IRAN|1995|234268.246
IRAN|1994|345869.3853
IRAN|1993|391495.3961
IRAN|1992|357004.6336
IRAQ|1998|119426.5024
IRAQ|1997|400426.5462
IRAQ|1996|431491.9795
IRAQ|1995|219230.3924
IRAQ|1994|530631.4004
IRAQ|1993|638886.4221
IRAQ|1992|279746.2366
JAPAN|1998|384186.8774
JAPAN|1997|393981.4786
JAPAN|1996|576416.5323
JAPAN|1995|350464.7788
JAPAN|1994|370210.7524
JAPAN|1993|668185.4352
JAPAN|1992|316431.485
JORDAN|1998|27797.9805
JORDAN|1997|226238.6083
JORDAN|1996|411444.9447
JORDAN|1995|156209.1905
JORDAN|1994|94354.4514
JORDAN|1993|72081.1023
JORDAN|1992|66935.3879
KENYA|1998|700341.833
KENYA|1997|893172.3192
KENYA|1996|718986.6992
KENYA|1995|806615.5891
KENYA|1994|990161.777
KENYA|1993|613336.8277
KENYA|1992|852842.3622
MOROCCO|1998|70723.589
MOROCCO|1997|146536.5953
MOROCCO|1996|211343.5741
MOROCCO|1995|202389.3195
MOROCCO|1994|100172.0168
MOROCCO|1993|286141.3424
MOROCCO|1992|220878.0956
MOZAMBIQUE|1998|438364.751
MOZAMBIQUE|1997|798397.377300001
MOZAMBIQUE|1996|484518.9338
MOZAMBIQUE|1995|348657.4353
MOZAMBIQUE|1994|754797.599
MOZAMBIQUE|1993|819912.8723
MOZAMBIQUE|1992|920280.862
PERU|1998|118961.797
PERU|1997|611580.8393
PERU|1996|536457.4327
PERU|1995|331778.694
PERU|1994|598697.795
PERU|1993|483263.9252
PERU|1992|392812.0554
ROMANIA|1998|88071.5372
ROMANIA|1997|361358.0604
ROMANIA|1996|151881.1363
ROMANIA|1995|476694.3808
ROMANIA|1994|82604.5365
ROMANIA|1993|423461.3844
ROMANIA|1992|247447.9604
RUSSIA|1998|268009.4712
RUSSIA|1997|256147.3523
RUSSIA|1996|376368.6499
RUSSIA|1995|471359.3755
RUSSIA|1994|395747.4795
RUSSIA|1993|442306.3849
RUSSIA|1992|482509.4745
SAUDI ARABIA|1998|43441.4293
SAUDI ARABIA|1997|67987.9458
SAUDI ARABIA|1996|9204.9615
SAUDI ARABIA|1995|18776.09
SAUDI ARABIA|1994|43516.0607
SAUDI ARABIA|1993|34000.1766
SAUDI ARABIA|1992|43576.2616
UNITED KINGDOM|1998|250874.5585
UNITED KINGDOM|1997|332784.301
UNITED KINGDOM|1996|595118.2122
UNITED KINGDOM|1995|474632.0512
UNITED KINGDOM|1994|725852.9585
UNITED KINGDOM|1993|425594.674
UNITED KINGDOM|1992|318644.3409
UNITED STATES|1998|425843.6127
UNITED STATES|1997|729121.9021
UNITED STATES|1996|625383.4975
UNITED STATES|1995|1023631.1745
UNITED STATES|1994|674085.754
UNITED STATES|1993|480763.8464
UNITED STATES|1992|651905.2284
VIETNAM|1998|710129.3319
VIETNAM|1997|1160968.2393
VIETNAM|1996|820006.8584
VIETNAM|1995|1228995.6282
VIETNAM|1994|1000744.931
VIETNAM|1993|1378969.5812
VIETNAM|1992|1209106.9884
