32065|330792.7467|1995-12-03|0
55873|300017.4491|1995-11-20|0
11623|274715.1394|1995-12-16|0
43875|240052.6589|1995-12-08|0
42082|235042.6918|1995-12-19|0
57959|229078.6127|1995-12-31|0
59554|224177.0382|1995-11-16|0
52321|213334.5282|1995-11-06|0
36387|211388.0078|1995-11-08|0
30279|210090.4449|1995-12-08|0
2595|206809.0338|1995-12-14|0
39138|200857.0771|1995-12-30|0
24966|192338.9461|1995-12-18|0
56006|178256.5075|1995-10-02|0
11687|175684.5425|1995-12-26|0
41349|160781.6718|1995-12-18|0
42656|157980.582|1995-12-02|0
15009|152711.4168|1995-12-22|0
32001|144179.4547|1995-10-29|0
54401|140538.6913|1995-12-05|0
32450|137176.0264|1995-12-20|0
55936|136749.7935|1995-12-28|0
15843|130846.0027|1995-11-10|0
11040|130443.744|1995-10-24|0
16611|127378.7681|1995-10-24|0
26434|122412.9657|1995-11-29|0
46662|121026.871|1995-12-30|0
37511|116489.2794|1995-11-08|0
8003|113762.653|1995-10-24|0
56130|112310.9578|1995-11-30|0
35|110039.1192|1995-10-23|0
42272|106890.3564|1995-11-20|0
420|106182.0851|1995-10-31|0
18436|104563.8284|1995-12-08|0
47106|104447.104|1995-10-26|0
25061|103565.9139|1995-12-19|0
22304|102290.46|1995-11-26|0
52675|102169.2501|1995-10-11|0
56577|100552.9668|1995-11-03|0
13156|100308.5882|1995-10-06|0
3392|99343.476|1995-10-28|0
26177|97956.0038|1995-12-28|0
32647|97810.632|1995-11-19|0
22950|95660.061|1995-12-22|0
40641|94739.4564|1995-11-27|0
19264|94071.2156|1995-09-30|0
36993|86984.166|1995-12-30|0
34566|86005.5812|1995-11-11|0
46304|83817.6696|1995-11-15|0
16898|78668.235|1995-10-29|0
33601|75008.9439|1995-12-19|0
24996|74774.5748|1995-09-26|0
36610|74571.504|1995-10-11|0
48641|74517.4285|1995-12-06|0
15553|74370.057|1995-12-14|0
45794|73541.5182|1995-09-25|0
12871|73191.805|1995-10-05|0
10243|69412.86|1995-12-25|0
29255|67672.1012|1995-12-04|0
29158|67645.6704|1995-10-21|0
53506|65796.7677|1995-09-18|0
28672|65664.7185|1995-12-09|0
49952|64424.2422|1995-11-20|0
33253|63926.0713|1995-12-01|0
22528|63490.6944|1995-11-12|0
22689|63414.5005|1995-10-10|0
51783|62239.4794|1995-11-12|0
13382|61877.3751|1995-11-02|0
24769|61699.7953|1995-11-25|0
3335|60992.0248|1995-10-15|0
33860|59663.453|1995-12-31|0
37792|58054.176|1995-12-30|0
12135|54859.2879|1995-10-10|0
50406|54618.994|1995-12-16|0
20960|52299.3897|1995-11-19|0
4|51852.708|1995-10-11|0
42181|50557.156|1995-10-18|0
42368|50367.6225|1995-11-11|0
10369|49306.7025|1995-11-10|0
38531|46117.3776|1995-12-06|0
41377|45413.7704|1995-12-18|0
16578|45406.318|1995-10-18|0
50598|44773.5442|1995-12-11|0
36006|44299.5828|1995-10-14|0
1191|40120.92|1995-11-07|0
42048|39377.272|1995-10-10|0
57351|37833.4292|1995-12-23|0
13986|36698.409|1995-10-12|0
52096|33479.3547|1995-11-08|0
3141|33103.197|1995-11-10|0
21893|33008.8621|1995-10-25|0
31233|32075.3466|1995-09-25|0
40134|32050.2336|1995-10-10|0
27715|31902.72|1995-09-20|0
7076|31144.9824|1995-12-12|0
44993|30358.2494|1995-12-22|0
26850|30035.7996|1995-12-06|0
34179|28091.2|1995-11-03|0
9539|26683.1929|1995-11-15|0
57287|24774.9675|1995-10-29|0
454|24300.9552|1995-12-27|0
18273|24244.6656|1995-09-16|0
5092|22777.9776|1995-10-30|0
20515|22643.4432|1995-11-16|0
8419|22418.58|1995-09-30|0
8483|22294.167|1995-10-31|0
19911|21538.881|1995-10-07|0
24514|19758.7968|1995-11-09|0
40096|18487.71|1995-11-15|0
22086|17634.118|1995-12-16|0
31526|15244.7844|1995-10-16|0
25892|12919.829|1995-12-16|0
17511|11456.6088|1995-11-25|0
44965|6451.02|1995-10-03|0
46087|1545.312|1995-10-26|0
2532|1244.34|1995-10-11|0
36608|1012.8158|1995-09-29|0
